area,block,community,region,rent,time,title,toward,type
162.00㎡,梅溪湖北岸,中建梅溪湖中心,岳麓,3800元/月,3天前维护,中建梅溪湖中心,南,4室2厅3卫
40.00㎡,德思勤,裕天国际商汇中心,雨花,1680元/月,12天前维护,裕天国际商汇中心,东南,1室0厅1卫
35.00㎡,德思勤,裕天国际商汇中心,雨花,1580元/月,12天前维护,裕天国际商汇中心,东南,1室0厅1卫
25.00㎡,德思勤,润屋美院,天心,1000元/月,13天前维护,润屋美院,南,5室1厅3卫
78.80㎡,左家塘,QQ生活馆,雨花,2200元/月,1天前维护,QQ生活馆,南 北,2室1厅1卫
40.00㎡,喜盈门,万科金色麦田,雨花,1700元/月,4天前维护,万科金色麦田,南,1室1厅1卫
43.73㎡,金盆岭,万润时光里,天心,1500元/月,8天前维护,万润时光里,北,1室1厅1卫
107.00㎡,汽车南站,汇金城三期,雨花,3000元/月,15天前维护,汇金城三期,南,3室2厅2卫
20.00㎡,德思勤,润屋美院,天心,1050元/月,28天前维护,润屋美院,东南,5室1厅3卫
35.98㎡,金霞,新城和樾,开福,900元/月,13天前维护,新城和樾,东,1室1厅1卫
18.00㎡,火车站,香格里嘉园,芙蓉,800元/月,1个月前维护,香格里嘉园,东南,5室1厅2卫
35.00㎡,德思勤,裕天国际商汇中心,雨花,1580元/月,12天前维护,裕天国际商汇中心,东南,1室1厅1卫
20.00㎡,东塘,活力康城,雨花,750元/月,5天前维护,活力康城,南,5室1厅3卫
94.00㎡,福元西路,万国城三期,开福,2800元/月,1天前维护,万国城三期,南,3室1厅1卫
89.70㎡,左家塘,人民保险公司宿舍,雨花,1800元/月,1天前维护,人民保险公司宿舍,南,3室1厅1卫
20.00㎡,候家塘,嘉盛奥美城,天心,1300元/月,1个月前维护,嘉盛奥美城,南,5室1厅3卫
16.00㎡,梅溪湖北岸,振业城,岳麓,708元/月,22天前维护,振业城,西南,4室1厅2卫
30.00㎡,雨花亭,雨花亭肉食宿舍,雨花,4000元/月,7天前维护,雨花亭肉食宿舍,南,1室1厅1卫
60.00㎡,东塘,摩天一号,天心,2750元/月,13天前维护,摩天一号,南,2室1厅1卫
118.00㎡,汽车西站,达美D6区,岳麓,4300元/月,7天前维护,达美D6区,南,4室2厅2卫
339.20㎡,含浦,麓山恋迪亚溪谷,岳麓,3000元/月,1天前维护,麓山恋迪亚溪谷,南,6室2厅3卫
34.01㎡,金盆岭,星宇V立方,天心,1100元/月,4天前维护,星宇V立方,南,1室1厅1卫
47.00㎡,树木岭,金色LOFT,雨花,2500元/月,9天前维护,金色LOFT,南,2室1厅2卫
110.00㎡,开元路,方略城市广场,长沙县,3500元/月,2天前维护,方略城市广场,南,3室2厅2卫
120.00㎡,四方坪,科大佳园北苑,开福,3200元/月,8天前维护,科大佳园北苑,南,3室2厅1卫
67.04㎡,德思勤,德思勤城市广场,雨花,2800元/月,5天前维护,德思勤城市广场,南,1室0厅1卫
90.00㎡,韶山南路,德馨园,雨花,1800元/月,5天前维护,德馨园,南,2室2厅1卫
12.00㎡,新开铺,柠檬丽都,天心,1000元/月,10天前维护,柠檬丽都,西北,4室2厅2卫
85.00㎡,树木岭,新星小区,雨花,2500元/月,1天前维护,新星小区,南,4室1厅2卫
52.00㎡,铁道学院,长大彩虹都,天心,1800元/月,2天前维护,长大彩虹都,南,2室2厅1卫
90.00㎡,广电,恒大雅苑,开福,2500元/月,1天前维护,恒大雅苑,南,2室2厅1卫
118.00㎡,马王堆,中欣楚天熙苑,芙蓉,2800元/月,6天前维护,中欣楚天熙苑,南,3室2厅2卫
286.94㎡,北辰三角洲,北辰定江洋,开福,25600元/月,5天前维护,北辰定江洋,西南,4室2厅2卫
111.60㎡,武广新城,阳光城尚东湾,雨花,2600元/月,6天前维护,阳光城尚东湾,南 北,3室2厅2卫
38.00㎡,尚东,碧桂园城市之光,雨花,2000元/月,9天前维护,碧桂园城市之光,南,1室1厅1卫
20.00㎡,马王堆,雄距都市东家,芙蓉,730元/月,14天前维护,雄距都市东家,南,5室1厅2卫
70.00㎡,窑岭,长岭,雨花,1600元/月,8天前维护,长岭,南 北,2室1厅1卫
30.00㎡,东塘,雨花大厦,雨花,1300元/月,1天前维护,雨花大厦,东南,1室1厅1卫
40.00㎡,月湖,弘坤云寓,开福,2800元/月,14天前维护,弘坤云寓,北,1室1厅1卫
30.00㎡,东塘,雨花大厦,雨花,1300元/月,1天前维护,雨花大厦,东南,1室1厅1卫
89.98㎡,武广新城,嘉盛华庭,雨花,2800元/月,7天前维护,嘉盛华庭,东南,2室2厅1卫
30.00㎡,东塘,雨花大厦,雨花,1300元/月,1天前维护,雨花大厦,东南,1室1厅1卫
122.00㎡,福元西路,万科城三期,开福,3000元/月,5天前维护,万科城三期,东南,3室2厅2卫
35.00㎡,五一广场,下河街商贸城,天心,1650元/月,16天前维护,下河街商贸城,东南,1室1厅1卫
106.68㎡,金星北,润和又一城二期,望城,1800元/月,5天前维护,润和又一城二期,南,3室2厅2卫
35.00㎡,五一广场,下河街商贸城,天心,1650元/月,16天前维护,下河街商贸城,东南,1室1厅1卫
137.53㎡,武广新城,三江花中城,雨花,5300元/月,1天前维护,三江花中城,南 北,5室2厅3卫
45.00㎡,火车站,人瑞潇湘国际大厦,芙蓉,1700元/月,16天前维护,人瑞潇湘国际大厦,南,1室1厅1卫
45.00㎡,黄土岭,荣盛花语书苑,天心,2500元/月,11天前维护,荣盛花语书苑,北,2室1厅1卫
155.00㎡,高桥,金邮小区,雨花,3100元/月,10天前维护,金邮小区,南 北,3室2厅2卫
20.00㎡,马王堆,雄距都市东家,芙蓉,730元/月,14天前维护,雄距都市东家,南,5室1厅2卫
100.00㎡,铁道学院,湖南省科学技术研究开发院,天心,1900元/月,8天前维护,湖南省科学技术研究开发院,南 北,3室2厅1卫
15.00㎡,马王堆,铁通住宅小区,芙蓉,699元/月,3个月前维护,铁通住宅小区,南,5室1厅3卫
96.00㎡,雨花亭,金地社区,雨花,2100元/月,9天前维护,金地社区,南,3室2厅1卫
91.51㎡,喜盈门,南城印象,雨花,2700元/月,12天前维护,南城印象,南,3室2厅1卫
140.00㎡,梅溪湖北岸,中建梅溪湖中心,岳麓,2500元/月,7天前维护,中建梅溪湖中心,南,4室2厅2卫
50.00㎡,火车站,湘域相遇,芙蓉,2200元/月,6天前维护,湘域相遇,南 北,1室1厅1卫
252.00㎡,金星北,金湘苑,望城,3580元/月,14天前维护,金湘苑,南 北,5室2厅3卫
37.63㎡,洋湖垸,龙湖新壹城,岳麓,2000元/月,13天前维护,龙湖新壹城,西北,1室1厅1卫
30.00㎡,东塘,雨花大厦,雨花,1300元/月,1天前维护,雨花大厦,东南,1室1厅1卫
126.00㎡,市政府,金峰小区南院,岳麓,2600元/月,8天前维护,金峰小区南院,南 北,3室2厅2卫
25.00㎡,市一中,韭菜园商住楼,芙蓉,1250元/月,11天前维护,韭菜园商住楼,东南,5室1厅3卫
114.00㎡,尚东,中惠锦堂,芙蓉,3700元/月,7天前维护,中惠锦堂,南 北,3室2厅1卫
127.00㎡,武广新城,万科金域华府,雨花,3800元/月,2天前维护,万科金域华府,南,4室2厅2卫
137.00㎡,武广新城,茂华国际湘,雨花,3000元/月,12天前维护,茂华国际湘,南,3室2厅2卫
87.63㎡,金霞,中国铁建山语城三期,开福,1900元/月,8天前维护,中国铁建山语城三期,南,2室2厅1卫
136.00㎡,武广新城,茂华国际湘,雨花,3000元/月,2天前维护,茂华国际湘,南,3室2厅2卫
45.00㎡,韶山南路,香颂国际,雨花,1000元/月,7天前维护,香颂国际,西南 东北,1室1厅1卫
100.00㎡,德政园,宏华花苑,芙蓉,2500元/月,3天前维护,宏华花苑,东南 南,2室2厅2卫
117.00㎡,万家丽南路,天鸿嘉园,雨花,2300元/月,21天前维护,天鸿嘉园,南,3室2厅2卫
169.00㎡,高桥,高桥现代商贸城,雨花,4200元/月,3天前维护,高桥现代商贸城,南,5室2厅2卫
10.00㎡,韶山南路,瑞都华庭,雨花,700元/月,10天前维护,瑞都华庭,西北,4室2厅2卫
92.32㎡,望城区,金地自在城,望城,1000元/月,8天前维护,金地自在城,东南,3室2厅1卫
20.00㎡,赤岗冲,鑫天佳园,雨花,800元/月,10天前维护,鑫天佳园,南,4室2厅2卫
142.00㎡,洋湖垸,兰亭湾畔小区一期,岳麓,3400元/月,9天前维护,兰亭湾畔小区一期,南 北,4室2厅2卫
43.90㎡,五一广场,江与城,天心,2000元/月,12天前维护,江与城,东,1室1厅1卫
36.00㎡,金霞,新城和樾,开福,1200元/月,7天前维护,新城和樾,南,1室1厅1卫
33.00㎡,长沙县,敏捷珑玥府,长沙县,1100元/月,1天前维护,敏捷珑玥府,南,1室1厅1卫
146.00㎡,河西人人乐,长房时代城,岳麓,10000元/月,8天前维护,长房时代城,南,1室1厅0卫
99.00㎡,含浦,江山帝景雅典,岳麓,2400元/月,2天前维护,江山帝景雅典,南,3室2厅1卫
85.44㎡,金星中路,啤酒厂小区,岳麓,1800元/月,8天前维护,啤酒厂小区,南,3室1厅1卫
35.00㎡,五一广场,下河街商贸城,天心,1650元/月,15天前维护,下河街商贸城,东南,1室1厅1卫
136.00㎡,梅溪湖北岸,振业城,岳麓,4300元/月,1天前维护,振业城,南,4室2厅2卫
133.00㎡,望城区,米地亚家园,望城,2600元/月,3天前维护,米地亚家园,南,3室2厅2卫
80.00㎡,洋湖垸,洋湖景园,岳麓,2400元/月,11天前维护,洋湖景园,南,2室1厅1卫
39.25㎡,月湖,弘坤云寓,开福,2600元/月,8天前维护,弘坤云寓,北,1室1厅1卫
46.00㎡,暮云,怡海星城,天心,1200元/月,1天前维护,怡海星城,南,1室1厅1卫
36.00㎡,洋湖垸,兰亭湾畔二期三期,岳麓,1800元/月,11天前维护,兰亭湾畔二期三期,南,1室1厅1卫
20.00㎡,浏城桥,碧云天,芙蓉,1550元/月,8天前维护,碧云天,东南,4室0厅4卫
129.00㎡,跳马,丽发新城三期,雨花,2500元/月,2天前维护,丽发新城三期,南,4室2厅2卫
58.00㎡,望城区,金桥国际,望城,1150元/月,1天前维护,金桥国际,南,1室1厅1卫
38.00㎡,尚东,碧桂园城市之光,雨花,1600元/月,6天前维护,碧桂园城市之光,南,1室1厅1卫
33.00㎡,望城区,时代年华,望城,1200元/月,7天前维护,时代年华,南,2室1厅1卫
120.00㎡,河西人人乐,望兴嘉年华,岳麓,4200元/月,12天前维护,望兴嘉年华,南,2室1厅1卫
26.00㎡,书院路,在水一方,天心,900元/月,8天前维护,在水一方,南,4室0厅4卫
180.00㎡,湘府路,梦网景园,天心,4800元/月,8天前维护,梦网景园,南,4室2厅2卫
30.00㎡,浏城桥,顺天城,芙蓉,1500元/月,8天前维护,顺天城,南,3室0厅3卫
95.00㎡,含浦,江山帝景哈佛,岳麓,2200元/月,2天前维护,江山帝景哈佛,南,3室2厅1卫
89.00㎡,梅溪湖北岸,万科城市花园,岳麓,3000元/月,7天前维护,万科城市花园,南,3室2厅1卫
116.00㎡,开元路,星沙三区,长沙县,1600元/月,7天前维护,星沙三区,南,3室2厅1卫
143.00㎡,观沙岭,金茂建发泊悦,岳麓,3300元/月,3天前维护,金茂建发泊悦,南 北,4室2厅2卫
130.00㎡,河西人人乐,湘华公寓,岳麓,2100元/月,15天前维护,湘华公寓,南,3室2厅1卫
93.00㎡,尚东,金地格林公馆,雨花,2800元/月,21天前维护,金地格林公馆,南,3室2厅1卫
49.22㎡,雨花亭,大鸿杰座,雨花,2700元/月,4天前维护,大鸿杰座,南,1室1厅1卫
45.00㎡,东塘,佳程c+广场,天心,2178元/月,3天前维护,佳程c+广场,南,1室1厅1卫
48.85㎡,雨花亭,大鸿杰座,雨花,2680元/月,3天前维护,大鸿杰座,北,1室1厅1卫
25.00㎡,韶山南路,上海城,雨花,828元/月,3天前维护,上海城,南,5室1厅2卫
52.44㎡,高桥,西子一间,雨花,2000元/月,今天维护,西子一间,南,1室1厅1卫
128.00㎡,德思勤,鑫远翡丽雅苑,天心,3200元/月,16天前维护,鑫远翡丽雅苑,南,4室2厅2卫
20.00㎡,高桥,中江锦城,雨花,900元/月,10天前维护,中江锦城,西北,4室1厅2卫
88.69㎡,滨江新城,南山雍江汇一期,岳麓,2000元/月,2天前维护,南山雍江汇一期,南,3室2厅1卫
115.00㎡,武广新城,万科魅力之城,雨花,3100元/月,5天前维护,万科魅力之城,南,4室2厅2卫
98.00㎡,桂花村,桂花二村,雨花,2000元/月,10天前维护,桂花二村,南,3室1厅1卫
95.00㎡,烈士公园,公园九号,开福,4100元/月,5天前维护,公园九号,南,3室2厅1卫
80.00㎡,洋湖垸,洋湖和园,岳麓,1800元/月,11天前维护,洋湖和园,东,2室2厅1卫
20.00㎡,四方坪,新家园,开福,680元/月,26天前维护,新家园,西北,4室2厅2卫
116.83㎡,湘江世纪城,世纪城贯江苑,开福,2000元/月,1天前维护,世纪城贯江苑,南 北,3室2厅2卫
103.00㎡,金星北,润和紫郡,望城,2000元/月,14天前维护,润和紫郡,南,3室2厅2卫
89.00㎡,新开铺,童话里,天心,2200元/月,13天前维护,童话里,南,2室1厅1卫
101.00㎡,市一中,韭菜园嘉苑,芙蓉,5000元/月,14天前维护,韭菜园嘉苑,南,3室2厅2卫
113.00㎡,北辰三角洲,北辰三角洲C3区,开福,4200元/月,5天前维护,北辰三角洲C3区,南,3室2厅1卫
25.00㎡,五一广场,下河街商贸城,天心,1390元/月,1个月前维护,下河街商贸城,东南,1室0厅1卫
93.00㎡,湘江世纪城,世纪城鸿江苑,开福,2000元/月,3天前维护,世纪城鸿江苑,南,2室2厅1卫
25.00㎡,五一广场,下河街商贸城,天心,1390元/月,1个月前维护,下河街商贸城,东南,1室0厅1卫
123.00㎡,黄土岭,欧园小区,天心,3000元/月,5天前维护,欧园小区,南,3室2厅2卫
22.00㎡,五一广场,下河街商贸城,天心,1290元/月,1个月前维护,下河街商贸城,东南,1室0厅1卫
50.00㎡,银盆岭,圆泰长沙印,岳麓,5000元/月,8天前维护,圆泰长沙印,西,1室1厅1卫
15.00㎡,金盆岭,华盛家园,天心,700元/月,10天前维护,华盛家园,东南,4室1厅1卫
96.00㎡,新开铺,和庄,天心,2700元/月,7天前维护,和庄,东,3室1厅1卫
18.00㎡,赤岗冲,锦绣世纪,雨花,900元/月,18天前维护,锦绣世纪,南,5室0厅2卫
81.00㎡,新开铺,和庄,天心,2500元/月,2天前维护,和庄,北,3室1厅1卫
41.00㎡,福元西路,润和国际广场,开福,2100元/月,7天前维护,润和国际广场,南,1室1厅1卫
189.46㎡,武广新城,明昇壹城,雨花,2350元/月,9天前维护,明昇壹城,南,5室2厅2卫
30.00㎡,浏城桥,碧云天,芙蓉,1400元/月,8天前维护,碧云天,南,3室0厅3卫
108.00㎡,东方红,中冶中央公园,岳麓,4000元/月,15天前维护,中冶中央公园,南,3室2厅2卫
397.00㎡,东塘,东塘大厦,雨花,11000元/月,5天前维护,东塘大厦,南,1室0厅0卫
152.81㎡,湘府路,湘超景园,天心,4200元/月,4天前维护,湘超景园,南 北,4室2厅2卫
118.00㎡,武广新城,长房东旭国际,雨花,1600元/月,5天前维护,长房东旭国际,南,3室1厅2卫
43.03㎡,喜盈门,五矿万境水岸二期,雨花,1500元/月,7天前维护,五矿万境水岸二期,南 北,1室1厅1卫
74.61㎡,五一广场,三兴小区,天心,2700元/月,1天前维护,三兴小区,南 北,2室1厅1卫
40.00㎡,雨花亭,万博汇名邸二期,雨花,1800元/月,2天前维护,万博汇名邸二期,西北,1室1厅1卫
18.00㎡,书院路,富湘公寓,天心,650元/月,10天前维护,富湘公寓,南,4室2厅2卫
83.84㎡,开元路,印山蓝色海岸,长沙县,2200元/月,1天前维护,印山蓝色海岸,东 南,3室2厅1卫
150.20㎡,银盆岭,湘许嘉园二期,岳麓,3400元/月,5天前维护,湘许嘉园二期,南,4室2厅2卫
197.94㎡,开福区政府,湘江豪庭,开福,6300元/月,2天前维护,湘江豪庭,南,4室1厅2卫
43.50㎡,尚东,长远华樟名府,雨花,1950元/月,10天前维护,长远华樟名府,南,1室1厅1卫
43.50㎡,尚东,长远华樟名府,雨花,1850元/月,10天前维护,长远华樟名府,南,1室1厅1卫
75.00㎡,滨江新城,老鸦冲小区,岳麓,2200元/月,7天前维护,老鸦冲小区,南 北,3室1厅1卫
44.00㎡,万家丽北,山水湾,长沙县,1000元/月,12天前维护,山水湾,南 北,1室0厅0卫
15.00㎡,东塘,海华嘉园,雨花,700元/月,10天前维护,海华嘉园,西南,4室2厅2卫
75.00㎡,德思勤,亚商国际,雨花,2200元/月,6天前维护,亚商国际,东南 南,2室1厅1卫
10.00㎡,左家塘,丹桂雅苑,雨花,750元/月,10天前维护,丹桂雅苑,南,4室1厅2卫
35.16㎡,黄土岭,长坡社区,天心,1400元/月,6天前维护,长坡社区,南,2室1厅1卫
114.29㎡,泉塘,圣力华苑,长沙县,1980元/月,1天前维护,圣力华苑,南,3室2厅2卫
17.00㎡,新开铺,和庄二期,天心,780元/月,18天前维护,和庄二期,南,5室0厅2卫
105.00㎡,晚报,晚报宿舍,芙蓉,2200元/月,8天前维护,晚报宿舍,南 北,3室2厅1卫
41.00㎡,星沙其他,波隆城市花园,长沙县,1190元/月,6天前维护,波隆城市花园,北,1室1厅1卫
47.87㎡,银盆岭,奥克斯广场,岳麓,1800元/月,3天前维护,奥克斯广场,西南 西北,1室1厅1卫
43.04㎡,武广新城,东城港,雨花,2250元/月,8天前维护,东城港,北,1室1厅0卫
87.00㎡,福元西路,万国城MOMA二期,开福,2600元/月,9天前维护,万国城MOMA二期,南,2室2厅1卫
122.00㎡,省政府,绿地公馆,天心,2600元/月,5天前维护,绿地公馆,东,3室2厅2卫
50.00㎡,开元路,华润置地广场二期,长沙县,1700元/月,14天前维护,华润置地广场二期,南,1室1厅1卫
84.00㎡,北辰三角洲,北辰三角洲奥城E4区,开福,3300元/月,1天前维护,北辰三角洲奥城E4区,南,3室2厅1卫
67.36㎡,武广新城,恒大国际广场,雨花,2400元/月,1天前维护,恒大国际广场,南,2室1厅1卫
115.00㎡,南郊公园,华新花苑,天心,2100元/月,2天前维护,华新花苑,东南,3室2厅2卫
36.60㎡,泉塘,佐佑公寓,长沙县,1000元/月,11天前维护,佐佑公寓,西南,1室1厅1卫
184.00㎡,梅溪湖南岸,佳兆业云顶梅溪湖,岳麓,2500元/月,3天前维护,佳兆业云顶梅溪湖,南,4室1厅2卫
157.00㎡,福元西路,春和景园,开福,4200元/月,3天前维护,春和景园,南,4室3厅2卫
40.00㎡,金星北,润和滨江府一期,望城,1500元/月,7天前维护,润和滨江府一期,南 北,1室1厅1卫
20.00㎡,尚东,仁和香堤雅境,雨花,800元/月,5天前维护,仁和香堤雅境,北,4室0厅2卫
118.00㎡,含浦,融创融公馆,岳麓,2800元/月,6天前维护,融创融公馆,东南,4室2厅2卫
13.00㎡,尚东,鸿基橄榄君庭,雨花,600元/月,5天前维护,鸿基橄榄君庭,东,4室1厅1卫
68.00㎡,烈士公园,华远华时代,开福,6500元/月,1天前维护,华远华时代,东,4室2厅2卫
16.00㎡,梅溪湖北岸,中国铁建梅溪青秀,岳麓,708元/月,14天前维护,中国铁建梅溪青秀,南,5室0厅3卫
136.00㎡,四方坪,四方小区,开福,2200元/月,4天前维护,四方小区,南,3室2厅2卫
28.00㎡,星沙其他,碧桂园星荟,长沙县,1000元/月,1天前维护,碧桂园星荟,南,1室0厅1卫
15.00㎡,东塘,海华嘉园,雨花,750元/月,10天前维护,海华嘉园,西南,4室2厅2卫
49.63㎡,桂花村,融圣国际,雨花,2000元/月,2天前维护,融圣国际,南,1室1厅1卫
20.00㎡,四方坪,锦和嘉园,开福,750元/月,26天前维护,锦和嘉园,西北,4室2厅2卫
90.00㎡,阳光100,阳光100国际新城三期,岳麓,2500元/月,7天前维护,阳光100国际新城三期,东,2室1厅2卫
15.00㎡,赤岗冲,福乐康城,雨花,750元/月,10天前维护,福乐康城,西北,4室2厅2卫
120.00㎡,洋湖垸,洋湖景园,岳麓,3000元/月,5天前维护,洋湖景园,南,3室2厅2卫
90.31㎡,万家丽南路,长沙恒大城,雨花,2000元/月,2天前维护,长沙恒大城,南,2室1厅1卫
100.00㎡,泉塘,广华国际公馆,长沙县,2300元/月,9天前维护,广华国际公馆,南 北,2室2厅1卫
41.00㎡,左家塘,东塘瑞府,雨花,1800元/月,10天前维护,东塘瑞府,南,1室1厅1卫
95.00㎡,武广新城,明昇壹城,雨花,2700元/月,6天前维护,明昇壹城,南,3室2厅1卫
137.00㎡,东方红,万科金色梦想,岳麓,4300元/月,8天前维护,万科金色梦想,南,4室2厅2卫
22.00㎡,新开铺,和庄二期,天心,880元/月,18天前维护,和庄二期,南,5室0厅2卫
45.00㎡,含浦,公园尚,岳麓,1500元/月,6天前维护,公园尚,南 北,1室1厅1卫
19.00㎡,新开铺,博林金谷,天心,800元/月,18天前维护,博林金谷,南,4室0厅2卫
150.00㎡,韶山南路,上海城,雨花,2600元/月,5天前维护,上海城,南 北,3室2厅2卫
23.00㎡,左家塘,格蓝康都,雨花,880元/月,18天前维护,格蓝康都,南,5室0厅2卫
129.00㎡,武广新城,新里程潇湘名城,雨花,2000元/月,2天前维护,新里程潇湘名城,南 北,3室1厅1卫
30.00㎡,黄土岭,古堆山小区,天心,1400元/月,18天前维护,古堆山小区,南,1室1厅1卫
90.00㎡,松雅湖,爱琴海岸,长沙县,1700元/月,11天前维护,爱琴海岸,南,2室2厅1卫
43.00㎡,暮云,韶峰星苑,天心,1300元/月,6天前维护,韶峰星苑,南,1室1厅1卫
65.00㎡,南郊公园,泰龙华府,天心,2200元/月,6天前维护,泰龙华府,东,2室1厅1卫
108.00㎡,梅溪湖南岸,卓越浅水湾,岳麓,3800元/月,7天前维护,卓越浅水湾,南,3室2厅2卫
130.00㎡,树木岭,鑫兴佳园,雨花,2600元/月,11天前维护,鑫兴佳园,南,3室2厅2卫
95.50㎡,韶山南路,德馨园,雨花,1500元/月,4天前维护,德馨园,南 北,2室2厅2卫
20.00㎡,马王堆,安泰新村,芙蓉,850元/月,10天前维护,安泰新村,西南,4室2厅2卫
95.00㎡,汽车南站,金地铂悦,雨花,2800元/月,8天前维护,金地铂悦,南,3室2厅1卫
180.00㎡,广电,藏珑湖上国际花园,开福,4000元/月,2天前维护,藏珑湖上国际花园,南,5室2厅3卫
25.00㎡,伍家岭,富湘园,开福,800元/月,1天前维护,富湘园,南,4室1厅1卫
20.00㎡,伍家岭,富湘园,开福,900元/月,1天前维护,富湘园,南,4室1厅1卫
221.44㎡,梅溪湖南岸,梅溪湖壹号三期,岳麓,9500元/月,10天前维护,梅溪湖壹号三期,南,5室2厅3卫
45.00㎡,烈士公园,建鸿达现代公寓,开福,1650元/月,6天前维护,建鸿达现代公寓,南,1室1厅1卫
50.00㎡,洋湖垸,富力十号,岳麓,2200元/月,12天前维护,富力十号,南,1室1厅1卫
17.00㎡,梅溪湖北岸,振业城,岳麓,708元/月,8天前维护,振业城,南,5室0厅3卫
46.68㎡,高桥,汇达大厦,雨花,1600元/月,4天前维护,汇达大厦,南,1室1厅1卫
16.00㎡,梅溪湖北岸,中建梅溪湖中心,岳麓,708元/月,1个月前维护,中建梅溪湖中心,南,5室0厅3卫
160.00㎡,含浦,江山帝景雅典,岳麓,2300元/月,9天前维护,江山帝景雅典,南,3室2厅2卫
18.00㎡,新开铺,丽水熙园,天心,850元/月,18天前维护,丽水熙园,南,5室0厅2卫
36.00㎡,含浦,中海国际社区2期,岳麓,1350元/月,3天前维护,中海国际社区2期,北,1室0厅1卫
115.00㎡,尚东,鸿基橄榄君庭,雨花,3400元/月,3天前维护,鸿基橄榄君庭,南,4室2厅2卫
30.00㎡,桂花村,窑岭东村,雨花,1300元/月,1个月前维护,窑岭东村,东南,1室1厅1卫
89.00㎡,金霞,山语城二期,开福,1800元/月,9天前维护,山语城二期,南 北,3室2厅1卫
86.00㎡,东塘,牛角塘小区,雨花,2200元/月,1天前维护,牛角塘小区,南,3室2厅1卫
148.60㎡,松桂园,潮宗御苑,开福,5500元/月,9天前维护,潮宗御苑,西,3室2厅2卫
200.00㎡,商学院,嘉文苑,岳麓,2000元/月,7天前维护,嘉文苑,东南,4室2厅2卫
30.00㎡,桂花村,窑岭东村,雨花,1309元/月,1个月前维护,窑岭东村,东南,1室1厅1卫
38.07㎡,五一广场,印象天心,天心,2000元/月,6天前维护,印象天心,北,1室1厅1卫
93.00㎡,武广新城,嘉宇中央,雨花,2800元/月,7天前维护,嘉宇中央,南,3室2厅1卫
45.00㎡,尚东,长远华樟名府,雨花,1448元/月,1天前维护,长远华樟名府,南,1室1厅1卫
69.00㎡,左家塘,东塘瑞府,雨花,2000元/月,10天前维护,东塘瑞府,西,1室1厅1卫
42.00㎡,武广新城,明昇壹城,雨花,1500元/月,10天前维护,明昇壹城,南,1室1厅1卫
98.00㎡,武广新城,天晟海拔东方,雨花,1500元/月,12天前维护,天晟海拔东方,西南,2室2厅1卫
20.00㎡,伍家岭,富湘园,开福,1000元/月,1天前维护,富湘园,南,4室1厅1卫
18.00㎡,德政园,东方新城,芙蓉,820元/月,6天前维护,东方新城,南,5室1厅2卫
